question,answer
What is passive income through business?,"Passive income through business is earning without active involvement, like royalties.",
What is e-commerce?,E-commerce is buying and selling goods online.,
What are the types of taxes?,"Types of taxes include income, sales, property, and payroll taxes.",
What is income tax?,Income tax is tax on earnings from work or investments.,
What is sales tax?,Sales tax is added to purchase price of goods or services.,
What is property tax?,Property tax is tax on property ownership.,
What is a W-2 form?,W-2 form reports wages and taxes withheld for employees.,
What is a 1099 form?,1099 form reports income earned as a contractor or freelancer.,
What is tax withholding?,Tax withholding is money taken from paycheck for taxes.,
What is a tax return?,A tax return reports income and calculates taxes owed or refund.,
What is a tax refund?,Tax refund is money returned if you overpaid taxes.,
What is an IRS audit?,IRS audit is a review of your tax return by the tax agency.,
What is financial risk?,Financial risk is the chance of losing money in investments or decisions.,
What is insurance?,"Insurance protects against financial loss from accidents, illness, or damage.",
Why do we need health insurance?,Health insurance helps cover medical expenses.,
What is life insurance?,Life insurance pays beneficiaries upon the insured's death.,
What is car insurance?,Car insurance covers damage or liability related to vehicles.,
What is renters insurance?,Renters insurance covers personal property in rented homes.,
What is a deductible?,Deductible is amount paid out of pocket before insurance pays.,
What is a premium in insurance?,Premium is the amount paid regularly for insurance coverage.,
What is insurance fraud?,Insurance fraud is deceiving insurance companies for money.,
How can insurance protect my finances?,Insurance protects your finances by covering costly risks.,
What is retirement?,Retirement is the period after you stop working.,
Why should I plan for retirement early?,Planning early helps build a larger retirement fund.,
What is a 401(k)?,401(k) is an employer-sponsored retirement savings plan.,
What is an IRA?,IRA is an individual retirement account with tax advantages.,
What is compound growth in retirement accounts?,Compound growth means your retirement money grows on itself over time.,
How much should I save for retirement?,Save 10-15% of your income for retirement as a general rule.,
What is social security?,Social security provides government retirement benefits.,
What happens if I retire early?,Retiring early may reduce benefits and require more savings.,
How do pensions work?,Pensions provide regular income after retirement from employers.,
What are retirement planning mistakes to avoid?,Avoid retirement mistakes like under-saving and ignoring inflation.,
What are the best budgeting apps?,Budgeting apps help track spending and savings goals.,
What is a digital wallet?,Digital wallets store payment info for easy online or mobile payments.,
How does PayPal work?,PayPal allows sending and receiving money electronically.,
What is Apple Pay or Google Pay?,Apple Pay and Google Pay let you pay using your phone or watch.,
What is cryptocurrency?,Cryptocurrency is digital money secured by encryption technology.,
What is blockchain technology?,Blockchain is a secure digital ledger used by cryptocurrencies.,
What is fintech?,Fintech refers to technology improving financial services.,
